Time, Date, Latitude, Longitude, Temperature, Humidity, Intensity, Distance

00:34:49,07/28/24,1,103,31,62,751,48
00:35:49,07/28/24,1,103,31,63,751,48
00:37:00,07/28/24,1,103,31,63,753,136
00:37:14,07/28/24,1,103,31,63,751,27
00:39:11,07/28/24,1,103,30,60,747,48
00:39:25,07/28/24,1,103,30,60,756,136
00:39:40,07/28/24,1,103,31,64,754,135
00:39:54,07/28/24,1,103,31,64,757,133
00:40:07,07/28/24,1,103,31,64,756,118
00:40:21,07/28/24,1,103,31,64,757,134
00:40:35,07/28/24,1,103,31,64,755,121
00:40:49,07/28/24,1,103,31,64,755,132
00:57:06,07/28/24,1,103,30,60,644,48
00:57:20,07/28/24,1,103,31,61,291,48
00:57:38,07/28/24,1,103,31,61,706,660
00:57:53,07/28/24,1,103,31,61,715,3
00:58:18,07/28/24,1,103,31,61,726,132
00:58:32,07/28/24,1,103,31,61,693,48
00:58:46,07/28/24,1,103,31,61,726,132
00:59:00,07/28/24,1,103,30,60,727,134
00:59:14,07/28/24,1,103,30,60,726,137
00:59:28,07/28/24,1,103,31,60,726,48
00:59:42,07/28/24,1,103,31,60,729,48
00:59:57,07/28/24,1,103,31,60,729,137
01:00:11,07/28/24,1,103,31,60,732,136
01:01:35,07/28/24,1,103,31,60,546,48
01:01:49,07/28/24,1,103,31,60,17,48
01:02:08,07/28/24,1,103,31,60,554,5
01:02:33,07/28/24,1,103,31,60,569,138
01:02:47,07/28/24,1,103,31,59,566,134
01:03:01,07/28/24,1,103,31,59,567,133
01:03:15,07/28/24,1,103,31,58,567,135
01:03:29,07/28/24,1,103,31,59,568,137
01:03:43,07/28/24,1,103,31,59,569,138
01:03:57,07/28/24,1,103,31,59,569,48
01:04:11,07/28/24,1,103,31,59,571,48
01:04:26,07/28/24,1,103,31,59,571,60
09:49:05,08/02/24,1,103,30,60,299,78
09:54:20,08/02/24,1,103,25,64,210,165
09:59:37,08/02/24,1,103,30,60,196,165
10:02:33,08/02/24,1,103,26,62,316,165
10:04:11,08/02/24,1,103,26,61,320,165
10:04:19,08/02/24,1,103,26,60,320,78
10:10:39,08/02/24,1,103,26,58,310,78
10:11:08,08/02/24,1,103,26,61,308,78
10:20:15,08/02/24,1,103,26,59,317,165
10:21:05,08/02/24,1,103,26,60,319,78
10:21:35,08/02/24,1,103,26,57,319,165
10:22:04,08/02/24,1,103,26,57,308,165
10:37:26,08/02/24,1,103,26,57,314,78
10:39:00,08/02/24,1,103,27,59,307,78
10:39:25,08/02/24,1,103,27,58,42,78
10:39:49,08/02/24,1,103,26,56,313,78
